question,expected,retrieved,f1_score
Will Synapse workspace support folder organization of objects and granularity at GA?,Synapse workspaces supports user-defined folders.,Synapse workspaces supports user-defined folders.,1.0
Can I link more than one Power BI workspace to a single Azure Synapse Workspace?,"Yes, as of June 10, 2021, Synapse Studio now allows you to add more than one Power BI workspace to a single Azure Synapse Workspace.","Yes, as of June 10, 2021, Synapse Studio now allows you to add more than one Power BI workspace to a single Azure Synapse Workspace.",1.0
Is Azure Synapse Link to Azure Cosmos DB generally available?,"Azure Synapse Analytics currently supports Azure Synapse Link from Azure Cosmos DB to Synapse Apache Spark and serverless SQL pool. Azure Synapse Link for Apache Spark is GA. Synapse Link for serverless SQL pool is in preview. For more information, seeAzure Synapse Link for Azure Cosmos DB.","Azure Synapse Analytics currently supports Azure Synapse Link from Azure Cosmos DB to Synapse Apache Spark and serverless SQL pool. Azure Synapse Link for Apache Spark is GA. Synapse Link for serverless SQL pool is in preview. For more information, see Azure Synapse Link for Azure Cosmos DB.",0.9982210993766785
Is Azure Synapse Link for SQL generally available?,"Azure Synapse Link for SQL is generally available for both SQL Server 2022 and Azure SQL Database. For more information, seeWhat is Azure Synapse Link for SQL?.","Azure Synapse Link for SQL is generally available for both SQL Server 2022 and Azure SQL Database. For more information, see What is Azure Synapse Link for SQL?.",0.9963558912277222
Does Azure Synapse workspace Support CI/CD?,"Yes! All Pipeline artifacts, notebooks, SQL scripts, and Spark job definitions will reside in Git. All pool definitions will be stored in Git as Azure Resource Manager (ARM) templates. Dedicated SQL pool objects (schemas, tables, views, etcetera.) will be managed with database projects with CI/CD support. For more information, check out thisCI and CD Guide.","Yes! All Pipeline artifacts, notebooks, SQL scripts, and Spark job definitions will reside in Git. All pool definitions will be stored in Git as Azure Resource Manager (ARM) templates. Dedicated SQL pool objects (schemas, tables, views, etcetera.) will be managed with database projects with CI/CD support. For more information, check out this CI and CD Guide.",0.9989922642707825
What are the functional differences between dedicated SQL pools and serverless pools?,You can find a full list of differences inT-SQL feature differences in Synapse SQL.,"Capabilities and requirements are different between the two types of pools. Differences include database objects, query language capabilities, security, tools, data access, and data format. For detailed comparison of SQL pools and serverless pools, please visit Pools Comparison. For best practices when using either type of pool, please view Best Practices for Dedicated SQL Pool and Best Practices for Serverless SQL Pool.",0.41117218136787415
"What are Delta tables, and why should I use them?","Lakehouse is based on open direct-access data formats, such as Apache Parquet. It has first-class support for machine learning and data science. A Delta table is a view of data that is contained in a Delta Lake, which supports most options provided by Apache Spark DataFrame read and write APIs. Lakehouses can help with major challenges with data warehouses, like data staleness, reliability, total cost of ownership, and data lock-in. On Delta tables, optimizations like auto compaction and adaptive query plans are available. For a detailed guide to Delta Lake, please visitDelta Lake Guide.","Lakehouse is based on open direct-access data formats, such as Apache Parquet. It has first-class support for machine learning and data science. A Delta table is a view of data that is contained in a Delta Lake, which supports most options provided by Apache Spark DataFrame read and write APIs. Lakehouses can help with major challenges with data warehouses, like data staleness, reliability, total cost of ownership, and data lock-in. On Delta tables, optimizations like auto compaction and adaptive query plans are available. For a detailed guide to Delta Lake, please visit Delta Lake Guide.",0.998865008354187
What is Auto Compaction?,"Auto Compaction is one of two complementary features of Auto Optimize for Delta tables. After a write to a table succeeds, Auto Compaction can further compact files for partitions that have the most number of small files. Opting in to Auto Compaction is recommended for streaming use cases where adding minutes of latency is acceptable and when you don't have regular OPTIMIZE calls on your table. For more information on Auto Optimize and Auto Compaction, check out thisAuto Optimize Guide.","Auto Compaction is one of two complementary features of Auto Optimize for Delta tables. After a write to a table succeeds, Auto Compaction can further compact files for partitions that have the most number of small files. Opting in to Auto Compaction is recommended for streaming use cases where adding minutes of latency is acceptable and when you don't have regular OPTIMIZE calls on your table. For more information on Auto Optimize and Auto Compaction, check out this Auto Optimize Guide.",0.9992536902427673
How do I ensure I know what credential is being used to run a pipeline?,Each activity in a Synapse Pipeline is executed using the credential specified inside the linked service.,Each activity in a Synapse Pipeline is executed using the credential specified inside the linked service.,1.0
Are SSIS IRs supported in Synapse Integrate?,Not at this time.,Not at this time.,1.0000001192092896
